inputAddress,buildingNoFrom,buildingNoTo
新界元朗十八鄉路 33 號,33,
北角月園街1號,1,
馬頭角道 50 號,50,
成安街 33 號,33,
通州街 208號,208,
大埔道 188號,188,
福華街 571號,571,
賈炳達道 33號,33,
鯉魚門徑1號,1,
香港 登豐街 1 號 1.7.3/(76),1,
福澤街18－20號,18,20
紅磡崇安街2號,2,
營盤街 142 號 2.6.4/(51),142,
新界 馬鞍山馬錦街 沙田市地段第 599 號 7.5.7/(32),,
新界 馬鞍山 恆光街 15 號 7.5.7/(17),15,
桂香街 1 號,1,
大埔公路大圍段 7838號,7838,
啟德道55號,55,
大埔道61號,61,
九龍 上海街 62 號 2.1.1/(5),62,
德輔道西124-128號,124,128
屯門業旺路101號,101,
大埔鳳園路9號,9,
大埔鳳園路9號,9,
擴業街 8號,8,
新界大埔白石角 科進路 16 號,16,
屯門屯門鄉事會路88號,88,
西源里1號,1,
大棠路 99A號,99,
新界元朗青山公路潭尾段 18 號,18,
九龍及新界青山公路潭尾段 18 號地盤 IV（第 1A 及 1B 期）,18,
新界元朗青山公路潭尾段 18 號,18,
新界屯門良德街 3 號,3,
葵涌興芳路178號,178,
"九龍城道 6,8號 6,8 KOWLOON CITY ROAD",6,8
浙江街 44號 44 CHI KIANG STREET,44,
北帝街 123號,123,
南里 1 號 1.1.6/(6),1,
九龍啟德沐寧街 9 號,9,
青山道 197-203 號 2.6.4/(42),197,203
粉嶺和豐街28號,28,
西洋菜北街 289號,289,
香港 筲箕灣道 163 號 1.6.1/(4),163,
唐俊街23號,23,
浙江街16及18號 ,16,18
筲箕灣東大街 23 號,23,
沐寧街 1號 1 MUK NING STREET,1,
半山般含道19至27號嘉富大廈1至3號,19,27
半山堅道63至69號慧源閣地下C,63,69
北角英皇道293-299號璇宮大廈地下15-22號舖及地庫,293,299
北角英皇道326至328號地下,326,328
北角英皇道376號,376,
北角英皇道433-437號珠璣大廈,433,437
柴灣柴灣道345號地下,345,
柴灣盛泰街100號杏花村杏花新城地下G59號,100,
大埔安泰路1號大埔廣場地下53號及54號舖,1,
大埔廣福邨廣福商場平台近K1號舖,,
大埔露屏路10號香港教育學院C2019室,10,
大埔太和邨太和商場S229E商舖,,
大埔太和路12號太和廣場1樓101 I 號舖,12,
大埔墟寶鄉街62至66號地下,62,66
大角咀海庭道18號奧海城2期UG46至47號,18,
大角咀荔枝角道139號,139,
大圍道16至18號祥豐大樓地下,16,18
大嶼山東涌慶東街1號東堤灣畔地下23號舖,1,
大嶼山東涌逸東邨逸東商場地下1及2號舖,,
